Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,21.6,32.5,43.1,49.4,62.8,67.7,72.2,72.7,64.6,54.8,32.2,10
2001,20.8,18.1,30.2,52.7,60.9,68.3,75.1,72.5,61.2,50.2,48,30.7
2002,28.6,29.8,31,48.9,56.8,72.4,76.5,70.9,65.3,46.2,34.7,28.9
2003,19.1,20.4,35.1,50.4,57.9,67.3,73,74.1,61.1,52.4,35.9,28.2
2004,17.7,22.7,40.8,51.1,60.7,66.9,70.5,66.2,66.4,51.9,40.6,26.6
2005,18.9,31.2,36,53.4,57.8,72.6,74.7,71.5,67.6,52.6,39.6,19.5
2006,32.4,25.1,36.5,53.8,60.6,70,75.9,72.1,60,47.9,39.3,31.1
2007,21.6,15.5,41.8,46.7,64.7,70.4,73.7,74.2,64.7,55.9,37.2,20.3
2008,16.6,17,32.6,46,57.4,69.3,73.1,69.9,63.5,50.7,37.3,17.6
2009,13.2,26.7,37.1,47,59.8,68.9,68,68.3,63.3,44.9,43.4,19.8
2010,13.6,17.3,38.4,55.2,59.9,70.8,74.6,74.4,63.1,53.9,38,19.1
2011,14.8,22.6,35.1,47.6,59.1,69.6,78,72,60.2,53.4,39.4,29.1
2012,26.5,29.6,51.6,52.4,65,71.4,79.6,71,62.1,48.8,39.1,27.7
2013,22,24.2,29,43.8,59,68.9,72.3,71.9,67,50.5,33.9,17.4
2014,14.2,13.2,29.7,47.5,60,70.2,68.8,71.2,62,51.2,29.3,28.2
2015,21.6,14.5,37.3,51.1,60,69.4,72,68.9,68.4,53,42,33
2016,19.6,28.6,42.4,50.1,59.5,73,72.8,72,67.3,55.3,45.1,22.9
2017,24.2,34.5,37.5,51.1,58.5,71.1,74.7,67.8,66.7,53.3,36.2,24.4
2018,17.8,20.5,35.2,39.3,67,73.1,73.1,71.8,65.9,48.2,30,28
2019,18.7,15.3,31.1,49.2,56.6,69.3,75.1,69.6,68.2,47.1,32.4,29.2
2020,23.1,24.9,40.3,46.7,57.6,72.9,75.3,71.9,61.9,46,42,27.2
2021,23.9,12.5,42.3,49.3,59,73.5,73.4,72.9,66.6,55.5,39.2,31.9
2022,14.9,21.3,37.1,43.8,61.3,71.6,74.2,72,65.1,50.4,37.1,21.3
2023,24.2,26.2,34,49.3,62.7,71.3,72,72.5,67.2,53.4,38.9,34.5
2024,20.1,37,40.6,50.8,62.1,72,72.2,71.1,66.8,56.8,40.5,28.2
